Total Population,Did Not Grad HS,Grad HS or Higher,Bachelor Degree or Higher,households,NTA,Median Household Income,Total Pop 25 and over,Pct Did Not Grad HS,Pct Grad HS or Higher,Pct Bachelor Degree or Higher,graduation_rate_2014,college_career_rate_2014
31931,2730,19908,7710,11096,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,611438.0,22638,0.12059369202226346,0.8794063079777366,0.3405777895573814,0.8833333333333333,0.79
25542,6226,7924,1105,8318,Longwood,102323.0,14150,0.44,0.56,0.07809187279151944,0.45500000000000007,0.31499999999999995
106203,15325,39704,10192,28325,Borough Park,1103775.0,55029,0.2784895237056825,0.7215104762943175,0.18521143397117884,0.58,0.49
20684,2327,12672,5679,7182,Auburndale,481591.0,14999,0.15514367624508302,0.844856323754917,0.37862524168277883,0.905,0.77
61503,8770,29436,7297,20322,Williamsbridge-Olinville,845829.0,38206,0.22954509762864472,0.7704549023713553,0.19099094383081192,0.7175,0.44249999999999995
51509,7745,30893,12828,17877,Murray Hill,886570.0,38638,0.20045033386821265,0.7995496661317874,0.3320047621512501,0.69,0.58
29854,4968,11224,1618,9841,East New York (Pennsylvania Ave),283190.0,16192,0.3068181818181818,0.6931818181818182,0.09992588932806325,0.5775,0.3325
20212,1939,12597,4149,6337,Cambria Heights,1041587.0,14536,0.13339295542102367,0.8666070445789763,0.2854292790313704,0.72,0.495
77676,2738,60452,48787,43613,Yorkville,845466.0,63190,0.04332964076594398,0.956670359234056,0.7720683652476658,0.76,0.43
37872,8402,13303,2172,12475,Morrisania-Melrose,201923.0,21705,0.3870997466021654,0.6129002533978346,0.10006910850034555,0.5975,0.35500000000000004
21520,2745,11685,3243,6273,Hollis,586063.0,14430,0.19022869022869024,0.8097713097713097,0.22474012474012475,0.81,0.59
40001,4475,23611,10600,15022,Madison,867590.0,28086,0.15933205155593533,0.8406679484440647,0.3774122338531653,0.76,0.63
23845,5695,9727,3061,8130,Manhattanville,,15422,0.3692776552976268,0.6307223447023732,0.19848268707041888,0.84,0.6433333333333333
86592,18869,41767,11962,29717,Bensonhurst West,1154642.0,60636,0.3111847747212877,0.6888152252787123,0.1972755458803351,0.74,0.545
42931,3116,32248,22449,25261,Clinton,475620.0,35364,0.0881122045017532,0.9118877954982468,0.6347980997624703,0.7857142857142857,0.5457142857142857
45522,4320,28976,13701,16043,Bayside-Bayside Hills,1370116.0,33296,0.12974531475252282,0.8702546852474772,0.41149086977414706,0.91,0.79
49715,8554,23230,6058,17347,Van Cortlandt Village,407304.0,31784,0.26912912157060154,0.7308708784293985,0.19059904354392146,0.7277777777777779,0.548888888888889
52132,13379,16402,2606,17497,Mott Haven-Port Morris,292015.0,29781,0.44924616366139486,0.5507538363386052,0.08750545649911017,0.585,0.4225
44304,5500,26879,7895,18258,Co-op City,132948.0,32379,0.1698631829272059,0.8301368170727941,0.24383087803823467,0.66,0.34
78193,11793,40034,14908,33203,Central Harlem North-Polo Grounds,561459.0,51827,0.22754548787311632,0.7724545121268837,0.28764929476913575,0.7266666666666667,0.6766666666666667
18539,3471,8158,2504,7283,Queensbridge-Ravenswood-Long Island City,,11629,0.2984779430733511,0.7015220569266489,0.21532375956660074,0.8300000000000001,0.7999999999999999
31584,3127,20525,9305,13764,Brighton Beach,341212.0,23652,0.13220869271097582,0.8677913072890242,0.39341281921190596,0.57,0.27
28228,852,21674,17353,15964,Midtown-Midtown South,1836030.0,22526,0.03782296013495516,0.9621770398650449,0.7703542573026725,0.7949999999999999,0.58
60465,12193,24871,7910,22183,East Harlem North,324588.0,37064,0.3289715087416361,0.671028491258364,0.21341463414634146,0.605,0.535
61817,18411,18848,5896,18885,Bushwick North,498817.0,37259,0.4941356450790413,0.5058643549209587,0.1582436458305376,0.6825,0.43
49515,1274,36284,29246,26173,Murray Hill-Kips Bay,649992.0,37558,0.03392086905586027,0.9660791309441398,0.7786889610735396,0.68,0.28
30715,7126,9425,1415,9847,Claremont-Bathgate,197591.0,16551,0.43054800314180414,0.5694519968581959,0.08549332366624374,0.68125,0.5175
19240,2118,10170,2569,6369,Port Richmond,245172.0,12288,0.17236328125,0.82763671875,0.20906575520833334,0.67,0.43
30191,5248,16143,6144,11364,Pelham Parkway,435733.0,21391,0.24533682389790099,0.754663176102099,0.28722359870973774,0.57,0.34
48393,759,39835,32421,29094,Turtle Bay-East Midtown,,40594,0.018697344435138197,0.9813026555648618,0.7986648273143815,0.81,0.62
81378,2663,63100,49892,43515,Lenox Hill-Roosevelt Island,963448.0,65763,0.040493894743244684,0.9595061052567553,0.758663686267354,0.8525,0.6599999999999999
38449,4725,22984,11273,13557,Briarwood-Jamaica Hills,623856.0,27709,0.17052221299938647,0.8294777870006135,0.4068353242628749,0.81,0.635
25783,5182,7409,1352,8319,Belmont,107846.0,12591,0.41156381542371534,0.5884361845762847,0.10737828607735685,0.654,0.39
50922,11594,22517,6104,15700,Jamaica,,34111,0.3398903579490487,0.6601096420509514,0.17894520829058075,1.0,0.89
65199,11269,30694,8821,17535,Richmond Hill,1482453.0,41963,0.26854610013583396,0.7314538998641661,0.21020899363725187,0.6060000000000001,0.43599999999999994
60205,1827,46166,38313,32169,Lincoln Square,915858.0,47993,0.038068051590857,0.961931948409143,0.7983039193215677,0.8114285714285714,0.6071428571428571
