School Year,Building Code,DBN,Location Code,Location Name,Major Crime,Other Crime,Non Criminal,Property Crime,Violent Crime,NTA
2013-14,K218,0,0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,1.0,3.0,17.0,3.0,1.0,East New York
2013-14,K220,20K220,K220,J.H.S. 220 John J. Pershing,0.0,3.0,1.0,2.0,1.0,Sunset Park East
2013-14,K221,0,0,791 EMPIRE BOULEVARD CONSOLIDATED LOCATION,1.0,1.0,0.0,1.0,1.0,Crown Heights South
2013-14,K223,0,0,4200 16 AVENUE CONSOLIDATED LOCATION,0.0,3.0,3.0,1.0,2.0,Borough Park
2013-14,K224,19K224,K224,P.S. 224 Hale A. Woodruff,0.0,4.0,6.0,1.0,2.0,East New York
2013-14,K225,0,0,1075 OCEAN VIEW AVENUE CONSOLIDATED LOCATION,0.0,1.0,3.0,1.0,0.0,Brighton Beach
2013-14,K227,20K227,K227,J.H.S. 227 Edward B. Shallow,0.0,1.0,6.0,0.0,1.0,Bensonhurst West
2013-14,K228,21K228,K228,I.S. 228 David A. Boody,0.0,1.0,3.0,0.0,1.0,Bensonhurst East
2013-14,K232,0,0,905 WINTHROP STREET CONSOLIDATED LOCATION,2.0,15.0,4.0,6.0,6.0,Prospect Lefferts Gardens-Wingate
2013-14,K233,18K233,K233,P.S. 233 Langston Hughes,1.0,0.0,0.0,0.0,1.0,Rugby-Remsen Village
2013-14,K234,22K234,K234,J.H.S. 234 Arthur W. Cunningham,0.0,4.0,8.0,1.0,3.0,Madison
2013-14,K237,0,0,50 AVENUE P CONSOLIDATED LOCATION,0.0,0.0,3.0,0.0,0.0,Bensonhurst East
2013-14,K238,21K238,K238,P.S. 238 Anne Sullivan,0.0,2.0,1.0,1.0,1.0,Homecrest
2013-14,K282,13K282,K282,P.S. 282 Park Slope,1.0,2.0,2.0,3.0,0.0,Park Slope-Gowanus
2013-14,K239,21K239,K239,Mark Twain I.S. 239 for the Gifted & Talented,0.0,1.0,1.0,0.0,1.0,Seagate-Coney Island
2013-14,K240,22K240,K240,Andries Hudde,2.0,6.0,6.0,0.0,5.0,Midwood
2013-14,K242,18K635,K635,Olympus Academy,0.0,1.0,0.0,1.0,0.0,Canarsie
2013-14,K244,18K244,K244,P.S. 244 Richard R. Green,0.0,0.0,1.0,0.0,0.0,Rugby-Remsen Village
2013-14,K246,0,0,72 VERONICA PLACE CONSOLIDATED LOCATION,2.0,5.0,4.0,2.0,4.0,Erasmus
2013-14,K247,20K247,K247,P.S. 247 Brooklyn,0.0,0.0,1.0,0.0,0.0,Bensonhurst West
2013-14,K249,17K249,K249,P.S. 249 The Caton,0.0,1.0,0.0,1.0,0.0,Flatbush
2013-14,K251,22K251,K251,P.S. 251 Paerdegat,1.0,2.0,1.0,2.0,1.0,Flatlands
2013-14,K252,0,0,1084 LENOX ROAD CONSOLIDATED LOCATION,2.0,0.0,0.0,0.0,2.0,Rugby-Remsen Village
2013-14,K255,22K255,K255,P.S. 255 Barbara Reing School,0.0,0.0,1.0,0.0,0.0,Madison
2013-14,K256,13K256,K256,P.S. 256 Benjamin Banneker,0.0,1.0,1.0,0.0,1.0,Bedford
2013-14,K257,14K257,K257,P.S. 257 John F. Hylan,0.0,2.0,0.0,2.0,0.0,East Williamsburg
2013-14,Q079,25Q079,Q079,P.S. 079 Francis Lewis,1.0,0.0,0.0,1.0,0.0,Whitestone
2013-14,K258,0,0,141 MACON STREET CONSOLIDATED LOCATION,0.0,4.0,6.0,0.0,2.0,Bedford
2013-14,K259,20K259,K259,J.H.S. 259 William Mckinley,1.0,2.0,0.0,2.0,0.0,Dyker Heights
2013-14,K261,15K261,K261,P.S. 261 Philip Livingston,0.0,2.0,0.0,2.0,0.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2013-14,K262,16K262,K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,0.0,2.0,2.0,2.0,0.0,Crown Heights North
2013-14,K263,0,0,210 CHESTER STREET CONSOLIDATED LOCATION,1.0,3.0,0.0,4.0,0.0,Brownsville
2013-14,K265,0,0,101 PARK AVENUE CONSOLIDATED LOCATION,1.0,3.0,5.0,3.0,0.0,Fort Greene
2013-14,K268,18K268,K268,P.S. 268 Emma Lazarus,0.0,0.0,1.0,0.0,0.0,Rugby-Remsen Village
2013-14,K269,22K269,K269,P.S. 269 Nostrand,0.0,0.0,1.0,0.0,0.0,Flatbush
2013-14,K270,0,0,241 EMERSON PLACE CONSOLIDATED LOCATION,0.0,0.0,1.0,0.0,0.0,Clinton Hill
2013-14,X107,08X107,X107,P.S. 107,0.0,1.0,1.0,0.0,1.0,Soundview-Castle Hill-Clason Point-Harding Park
2013-14,K335,0,0,130 ROCHESTER AVENUE CONSOLIDATED LOCATION,1.0,1.0,4.0,2.0,0.0,Crown Heights North
2013-14,K271,0,0,1137 HERKIMER STREET CONSOLIDATED LOCATION,2.0,12.0,5.0,12.0,1.0,Ocean Hill
2013-14,K272,18K272,K272,P.S. 272 Curtis Estabrook,0.0,1.0,0.0,0.0,1.0,Canarsie
2013-14,K274,32K274,K274,P.S. 274 Kosciusko,0.0,0.0,1.0,0.0,0.0,Bushwick South
