DBN,Grad_rate,Coll_rate,NTA,School Year
03M541,0.98,0.89,Lincoln Square,2013-14
08X332,0.46,0.28,Longwood,2013-14
08X530,0.4,0.22,Longwood,2013-14
12X248,0.63,0.59,Longwood,2013-14
12X278,0.33,0.17,Longwood,2013-14
01M292,0.43,0.41,Lower East Side,2013-14
01M448,0.8,0.52,Lower East Side,2013-14
01M539,0.95,0.89,Lower East Side,2013-14
01M696,1.0,0.93,Lower East Side,2013-14
22K425,0.76,0.63,Madison,2013-14
05M369,0.77,0.49,Manhattanville,2013-14
05M692,0.99,0.95,Manhattanville,2013-14
06M540,0.76,0.49,Manhattanville,2013-14
10X213,0.6,0.5,Marble Hill-Inwood,2013-14
10X284,0.65,0.47,Marble Hill-Inwood,2013-14
10X477,0.91,0.76,Marble Hill-Inwood,2013-14
10X546,0.71,0.54,Marble Hill-Inwood,2013-14
07X473,0.57,0.27,Melrose South-Mott Haven North,2013-14
07X495,0.94,0.65,Melrose South-Mott Haven North,2013-14
07X500,0.88,0.64,Melrose South-Mott Haven North,2013-14
07X600,0.64,0.19,Melrose South-Mott Haven North,2013-14
02M529,0.61,0.45,Midtown-Midtown South,2013-14
02M531,0.98,0.71,Midtown-Midtown South,2013-14
21K525,0.81,0.67,Midwood,2013-14
09X297,0.59,0.39,Morrisania-Melrose,2013-14
09X403,0.68,0.33,Morrisania-Melrose,2013-14
09X404,0.5,0.4,Morrisania-Melrose,2013-14
09X543,0.62,0.3,Morrisania-Melrose,2013-14
07X221,0.87,0.51,Mott Haven-Port Morris,2013-14
07X334,0.4,0.19,Mott Haven-Port Morris,2013-14
07X520,0.42,0.41,Mott Haven-Port Morris,2013-14
07X551,0.65,0.58,Mott Haven-Port Morris,2013-14
25Q263,0.69,0.58,Murray Hill,2013-14
02M500,0.68,0.28,Murray Hill-Kips Bay,2013-14
31R440,0.78,0.54,New Dorp-Midland Beach,2013-14
31R605,1.0,0.99,New Dorp-Midland Beach,2013-14
10X141,0.83,0.61,North Riverdale-Fieldston-Riverdale,2013-14
14K488,0.83,0.54,North Side-South Side,2013-14
14K558,0.91,0.52,North Side-South Side,2013-14
14K561,0.87,0.66,North Side-South Side,2013-14
14K610,0.49,0.24,North Side-South Side,2013-14
26Q415,0.84,0.76,Oakland Gardens,2013-14
23K493,0.56,0.4,Ocean Hill,2013-14
15K462,0.85,0.56,Park Slope-Gowanus,2013-14
15K463,0.61,0.42,Park Slope-Gowanus,2013-14
15K464,0.61,0.36,Park Slope-Gowanus,2013-14
11X418,0.57,0.34,Pelham Parkway,2013-14
28Q680,0.95,0.91,Pomonok-Flushing Heights-Hillcrest,2013-14
31R445,0.67,0.43,Port Richmond,2013-14
17K531,0.82,0.48,Prospect Lefferts Gardens-Wingate,2013-14
17K533,0.63,0.3,Prospect Lefferts Gardens-Wingate,2013-14
17K546,0.93,0.76,Prospect Lefferts Gardens-Wingate,2013-14
30Q555,0.62,0.51,Queensbridge-Ravenswood-Long Island City,2013-14
30Q575,0.89,0.91,Queensbridge-Ravenswood-Long Island City,2013-14
30Q580,0.98,0.98,Queensbridge-Ravenswood-Long Island City,2013-14
27Q475,0.52,0.36,Richmond Hill,2013-14
27Q475,0.52,0.36,Richmond Hill,2013-14
27Q475,0.52,0.36,Richmond Hill,2013-14
27Q475,0.52,0.36,Richmond Hill,2013-14
27Q650,0.95,0.74,Richmond Hill,2013-14
24Q485,0.58,0.38,Ridgewood,2013-14
08X293,0.73,0.54,Schuylerville-Throgs Neck-Edgewater Park,2013-14
08X405,0.52,0.37,Schuylerville-Throgs Neck-Edgewater Park,2013-14
22K535,0.96,0.91,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2013-14
02M615,0.85,0.56,SoHo-TriBeCa-Civic Center-Little Italy,2013-14
08X282,0.72,0.51,Soundview-Castle Hill-Clason Point-Harding Park,2013-14
08X305,0.7,0.3,Soundview-Castle Hill-Clason Point-Harding Park,2013-14
08X312,0.68,0.45,Soundview-Castle Hill-Clason Point-Harding Park,2013-14
08X452,0.57,0.32,Soundview-Castle Hill-Clason Point-Harding Park,2013-14
