DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Address,Borough Name,Community Board,Council District ,Census Tract,NTA,Precinct,Population
03M299,0.593,0.44,0.6629999999999999,0.37200000000000005,0.75,0.4,0.72,0.44,122 AMSTERDAM AVENUE,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
03M307,0.7190000000000001,0.353,0.674,0.41700000000000004,0.61,0.4,0.67,0.41,122 AMSTERDAM AVENUE,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
03M415,0.613,0.426,0.42700000000000005,0.419,0.44,0.31,0.5,0.23,215 WEST 114 STREET,MANHATTAN,10.0,9.0,218,Central Harlem South,28.0,44781.0
03M479,0.986,0.8170000000000001,0.978,0.887,0.99,0.84,0.99,0.84,227-243 WEST 61ST STREET,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
03M492,0.745,0.523,0.794,0.531,0.74,0.41,0.72,0.48,122 AMSTERDAM AVENUE,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
03M494,0.718,0.368,0.684,0.408,0.64,0.51,0.61,0.39,122 AMSTERDAM AVENUE,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
03M541,0.875,0.9229999999999999,0.9540000000000001,0.821,0.91,0.89,0.98,0.89,122 AMSTERDAM AVENUE,MANHATTAN,7.0,6.0,151,Lincoln Square,20.0,102624.0
03M860,0.6829999999999999,0.585,0.677,0.524,0.65,0.59,0.73,0.42,215 WEST 114 STREET,MANHATTAN,10.0,9.0,218,Central Harlem South,28.0,44781.0
04M409,0.514,0.455,0.473,0.327,0.41,0.22,0.27,0.3,2351 1ST AVENUE,MANHATTAN,11.0,8.0,194,East Harlem North,25.0,47405.0
04M435,0.92,0.757,0.909,0.742,0.9,0.77,0.94,0.77,260 PLEASANT AVENUE,MANHATTAN,11.0,8.0,178,East Harlem North,25.0,47405.0
04M495,0.735,0.409,0.821,0.47,0.76,0.51,0.93,0.55,230 EAST 105 STREET,MANHATTAN,11.0,8.0,170,East Harlem South,23.0,73106.0
